Year,Rank,"Pos
Rank",Draft_Rank,Player
2022,34,13,3.10,"Haskins, Hassan (TEN, RB, Age: 22) (R34)"
2022,35,3,3.11,"Dulcich, Greg (DEN, TE, Age: 22) (R35)"
2022,36,18,3.12,"Gray, Danny (SFO, WR, Age: 23) (R36)"
2022,37,14,4.01,"Ingram, Keaontay (ARI, RB, Age: 22) (R37)"
2022,38,4,4.02,"Bellinger, Daniel (NYG, TE, Age: 21) (R38)"
2022,39,19,4.03,"Jones, Velus (CHI, WR, Age: 25) (R39)"
2022,40,15,4.04,"Williams, Kyren (LAR, RB, Age: 22) (R40)"
2022,41,16,4.05,"Ford, Jerome (CLE, RB, Age: 22) (R41)"
2022,42,3,4.06,"Ridder, Desmond (ATL, QB, Age: 23) (R42)"
2022,43,20,4.07,"Austin III, Calvin (PIT, WR, Age: 23) (R43)"
2022,44,17,4.08,"Warren, Jaylen (PIT, RB, Age: 23) (R44)"
2022,45,5,4.09,"Woods, Jelani (IND, TE, Age: 23) (R45)"
2022,46,21,4.01,"Philips, Kyle (TEN, WR, Age: 23) (R46)"
2022,47,4,4.11,"Howell, Sam (WAS, QB, Age: 21) (R47)"
2022,48,22,4.12,"Ross, Justyn (KCC, WR, Age: 22) (R48)"
2022,49,18,5.01,"Badie, Tyler (BAL, RB, Age: 22) (R49)"
2022,50,19,5.02,"Conner, Snoop (JAC, RB, Age: 22) (R50)"
2022,51,6,5.03,"Otton, Cade (TBB, TE, Age: 23) (R51)"
2022,52,20,5.04,"Chandler, Ty (MIN, RB, Age: 24) (R52)"
2022,53,21,5.05,"Ebner, Trestan (CHI, RB, Age: 23) (R53)"
2022,54,5,5.06,"Corral, Matt (CAR, QB, Age: 23) (R54)"
2022,55,7,5.07,"Okonkwo, Chigoziem (TEN, TE, Age: 22) (R55)"
2022,56,22,5.08,"Smith, Abram (NOS, RB) (R56)"
2022,57,6,5.09,"Coan, Jack (IND, QB, Age: 23) (R57)"
2022,58,23,5.01,"Durant, Mataeo (PIT, RB, Age: 22) (R58)"
2023,1,1,1.01,"Robinson, Bijan (ATL, RB, Age: 21) (R1)"
2023,2,2,1.02,"Gibbs, Jahmyr (DET, RB, Age: 21) (R2)"
2023,3,1,1.03,"Smith-Njigba, Jaxon (SEA, WR) (R3)"
2023,4,2,1.04,"Addison, Jordan (MIN, WR) (R4)"
2023,5,3,1.05,"Johnston, Quentin (LAC, WR) (R5)"
2023,6,4,1.06,"Flowers, Zay (BAL, WR) (R6)"
2023,7,3,1.07,"Charbonnet, Zach (SEA, RB) (R7)"
2023,8,1,1.08,"Kincaid, Dalton (BUF, TE) (R8)"
2023,9,4,1.09,"Achane, Devon (MIA, RB) (R9)"
2023,10,1,1.10,"Richardson, Anthony (IND, QB, Age: 21) (R10)"
2023,11,5,1.11,"Miller, Kendre (NOS, RB) (R11)"
2023,12,2,1.12,"LaPorta, Sam (DET, TE) (R12)"
2023,13,6,2.01,"Bigsby, Tank (JAC, RB) (R13)"
2023,14,7,2.02,"Johnson, Roschon (CHI, RB) (R14)"
2023,15,5,2.03,"Mingo, Jonathan (CAR, WR) (R15)"
2023,16,6,2.04,"Rice, Rashee (KCC, WR) (R16)"
2023,17,2,2.05,"Young, Bryce (CAR, QB, Age: 22) (R17)"
2023,18,8,2.06,"Spears, Tyjae (TEN, RB) (R18)"
2023,19,3,2.07,"Mayer, Michael (LVR, TE) (R19)"
2023,20,7,2.08,"Mims, Marvin (DEN, WR) (R20)"
2023,21,8,2.09,"Reed, Jayden (GBP, WR) (R21)"
2023,22,9,2.10,"Downs, Josh (IND, WR) (R22)"
2023,23,3,2.11,"Stroud, C.J. (HOU, QB, Age: 22) (R23)"
2023,24,10,2.12,"Hyatt, Jalin (NYG, WR) (R24)"
2023,25,11,3.01,"Tillman, Cedric (CLE, WR) (R25)"
2023,26,4,3.02,"Musgrave, Luke (GBP, TE) (R26)"
2023,27,12,3.03,"Wilson, Michael (ARI, WR) (R27)"
2023,28,9,3.04,"Brown, Chase (CIN, RB) (R28)"
2023,29,10,3.05,"Abanikanda, Israel (NYJ, RB) (R29)"
2023,30,13,3.06,"Dell, Nathaniel (HOU, WR) (R30)"
2023,31,11,3.07,"Evans, Zach (LAR, RB) (R31)"
2023,32,12,3.08,"McBride, DeWayne (MIN, RB) (R32)"
2023,33,14,3.09,"Nacua, Puka (LAR, WR) (R33)"
2023,34,5,3.10,"Schoonmaker, Luke (DAL, TE) (R34)"
2023,35,13,3.11,"Hull, Evan (IND, RB) (R35)"
2023,36,14,3.12,"Tucker, Sean (TBB, RB) (R36)"
2023,37,15,4.01,"Boutte, Kayshon (NEP, WR) (R37)"
2023,38,6,4.02,"Washington, Darnell (PIT, TE) (R38)"
2023,39,15,4.03,"Vaughn, Deuce (DAL, RB) (R39)"
2023,40,4,4.04,"Levis, Will (TEN, QB) (R40)"
2023,41,16,4.05,"Rodriguez, Chris (WAS, RB) (R41)"
2023,42,17,4.06,"Gray, Eric (NYG, RB) (R42)"
2023,43,18,4.07,"McIntosh, Kenny (SEA, RB) (R43)"
2023,44,5,4.08,"Hooker, Hendon (DET, QB) (R44)"
2023,45,16,4.09,"Douglas, Demario (NEP, WR) (R45)"
2023,46,17,4.10,"Jones, Charlie (CIN, WR) (R46)"
2023,47,18,4.11,"Hutchinson, Xavier (HOU, WR) (R47)"
2023,48,19,4.12,"Scott, Tyler (CHI, WR) (R48)"
2023,49,7,5.01,"Kraft, Tucker (GBP, TE) (R49)"
2023,50,20,5.02,"Perry, A.T. (NOS, WR) (R50)"
2023,51,19,5.03,"Ibrahim, Mohamed (DET, RB) (R51)"
2023,52,20,5.04,"Nichols, Lew (GBP, RB) (R52)"
